TimeStamp,Course Name,Module,Problem,Duration,Content Type,Url,eventtype,eventdata
13/07/2015 11:34:15,,,,,,https://taralabs.slack.com/messages/@praveen/,Tab,Tab Switched
13/07/2015 11:34:18,,,,,,https://mail.google.com/mail/u/0/#inbox/14e85ff842b9a8a8,Tab,Tab Switched
13/07/2015 11:34:19,,,,,,https://www.workingon.co/manage,Tab,Tab Switched
13/07/2015 11:34:41,,,,,,https://taralabs.slack.com/messages/@praveen/,Tab,Tab Switched
13/07/2015 11:34:42,,,,,,https://www.workingon.co/work,Tab,New Tab
13/07/2015 11:35:01,,,,,,https://www.workingon.co/work,Tab,Tab Switched
13/07/2015 11:35:02,,,,,,https://taralabs.slack.com/messages/@praveen/,Tab,Tab Switched
13/07/2015 11:35:20,,,,,,https://www.workingon.co/work,Tab,Tab Switched
13/07/2015 11:35:23,,,,,,https://www.workingon.co/work,Mouse,"MOUSE3: Mouse clicked! (325, 85) A [Tag Name :A] undefined MOUSE3: Mouse clicked! (325, 85) A [Tag Name :A] undefined"
13/07/2015 11:35:25,,,,,,https://www.workingon.co/tools,Tab,New Tab
13/07/2015 11:35:31,,,,,,https://www.workingon.co/manage,Tab,New Tab
13/07/2015 11:35:41,,,,,,https://www.workingon.co/slack,Tab,New Tab
13/07/2015 11:35:51,,,,,,https://taralabs.slack.com/messages/@praveen/,Tab,Tab Switched
13/07/2015 11:35:53,,,,,,https://www.workingon.co/slack,Tab,Tab Switched
13/07/2015 11:36:12,,,,,,https://taralabs.slack.com/messages/@praveen/,Tab,Tab Switched
13/07/2015 11:36:38,,,,,,https://www.workingon.co/slack,Tab,Tab Switched
13/07/2015 11:36:38,,,,,,https://taralabs.slack.com/messages/@praveen/,Mouse,"MOUSE3: Mouse clicked! (380, 940) TEXTAREA [Tag Name :TEXTAREA] MOUSE3: Mouse clicked! (445, 893) TEXTAREA [Tag Name :TEXTAREA] Set up Slack. Enter the room you'd like to post to (include the # sign) Would you like to remove this integration? MOUSE3: Mouse clicked! (632, 955) TEXTAREA [Tag Name :TEXTAREA] Set up Slack. Enter the room you'd like to post to (include the # sign) Would you like to remove this integration?"
13/07/2015 11:37:07,,,,,,https://www.workingon.co/slack,Mouse,"MOUSE3: Mouse clicked! (424, 142) DIV [Tag Name :DIV] undefined MOUSE3: Mouse clicked! (505, 85) A [Tag Name :A] undefined MOUSE3: Mouse clicked! (505, 85) A [Tag Name :A] undefined"
13/07/2015 11:37:07,,,,,,https://www.workingon.co/slack,Selected,Set up Slack. Enter the room you'd like to post to (include the # sign) Would you like to remove this integration?
13/07/2015 11:37:09,,,,,,https://www.workingon.co/manage,Tab,New Tab
13/07/2015 11:37:19,,,,,,https://www.workingon.co/slack,Tab,New Tab
13/07/2015 11:37:52,,,,,,https://taralabs.slack.com/messages/@praveen/,Tab,Tab Switched
13/07/2015 11:38:01,,,,,,https://taralabs.slack.com/messages/veda-java-progress/,Tab,New Tab
13/07/2015 11:38:11,,,,,,https://taralabs.slack.com/messages/@praveen/,Tab,New Tab
13/07/2015 11:38:11,,,,,,https://taralabs.slack.com/messages/veda-java-progress/,Mouse,"MOUSE3: Mouse clicked! (475, 595) A [Tag Name :A] undefined MOUSE3: Mouse clicked! (475, 595) A [Tag Name :A] undefined MOUSE3: Mouse clicked! (917, 935) A [Tag Name :A] undefined MOUSE3: Mouse clicked! (917, 935) A [Tag Name :A] undefined"
13/07/2015 11:38:17,,,,,,https://taralabs.slack.com/messages/@praveen/,Mouse,"MOUSE3: Mouse clicked! (410, 942) TEXTAREA [Tag Name :TEXTAREA] MOUSE3: Mouse clicked! (410, 942) TEXTAREA [Tag Name :TEXTAREA]"
13/07/2015 11:38:17,,,,,,https://www.workingon.co/slack,Tab,Tab Switched
13/07/2015 11:38:25,,,,,,https://www.workingon.co/slack,Tab,New Tab
13/07/2015 11:38:37,,,,,,https://taralabs.slack.com/messages/@praveen/,Tab,Tab Switched
13/07/2015 11:38:43,,,,,,https://www.workingon.co/slack,Tab,Tab Switched
13/07/2015 11:38:47,,,,,,https://www.workingon.co/slack,Tab,New Tab
13/07/2015 11:38:52,,,,,,https://taralabs.slack.com/messages/@praveen/,Tab,Tab Switched
13/07/2015 11:38:54,,,,,,https://taralabs.slack.com/messages/veda-java-progress/,Tab,New Tab
13/07/2015 11:39:00,,,,,,https://www.workingon.co/slack,Tab,Tab Switched
13/07/2015 11:39:11,,,,,,https://www.workingon.co/work,Tab,New Tab
13/07/2015 11:39:27,,,,,,https://www.workingon.co/work,Tab,New Tab
13/07/2015 11:39:30,,,,,,https://taralabs.slack.com/messages/veda-java-progress/,Tab,Tab Switched
13/07/2015 11:39:36,,,,,,https://www.workingon.co/work,Tab,Tab Switched
13/07/2015 11:39:41,,,,,,https://www.workingon.co/work,Tab,New Tab
13/07/2015 11:39:50,,,,,,https://www.workingon.co/activity,Tab,New Tab
13/07/2015 11:40:29,,,,,,https://mail.google.com/mail/u/0/#inbox/14e85ff842b9a8a8,Tab,Tab Switched
13/07/2015 11:40:30,,,,,,https://taralabs.slack.com/messages/veda-java-progress/,Tab,Tab Switched
13/07/2015 11:40:31,,,,,,https://taralabs.slack.com/messages/@praveen/,Tab,New Tab
13/07/2015 11:41:24,,,,,,https://www.udacity.com/me#!/,Tab,Tab Switched
13/07/2015 11:41:24,,,,,,https://taralabs.slack.com/messages/@praveen/,Mouse,"MOUSE3: Mouse clicked! (375, 952) TEXTAREA [Tag Name :TEXTAREA] MOUSE3: Mouse clicked! (375, 952) TEXTAREA [Tag Name :TEXTAREA]"
13/07/2015 11:41:26,,,,,,https://www.udacity.com/course/viewer#!/c-cs046/l-176475143/m-178422831,Tab,Tab Switched
13/07/2015 11:42:31,,,,,,https://www.udacity.com/course/viewer#!/c-cs046/l-176475143/m-178422831,Screen,idle
13/07/2015 11:42:56,,,,,,https://www.udacity.com/course/viewer#!/c-cs046/l-176475143/m-178422831,Screen,active
13/07/2015 11:42:57,,,,,,https://taralabs.slack.com/messages/@praveen/,Tab,Tab Switched
13/07/2015 11:43:05,,,,,,https://taralabs.slack.com/messages/@praveen/,Mouse,"MOUSE3: Mouse clicked! (322, 937) TEXTAREA [Tag Name :TEXTAREA] MOUSE3: Mouse clicked! (322, 937) TEXTAREA [Tag Name :TEXTAREA]"
13/07/2015 11:43:05,,,,,,https://mail.google.com/mail/u/0/#inbox/14e85ff842b9a8a8,Tab,Tab Switched
13/07/2015 11:43:06,,,,,,https://www.workingon.co/activity,Tab,Tab Switched
13/07/2015 11:43:07,,,,,,https://mail.google.com/mail/u/0/#inbox/14e85ff842b9a8a8,Tab,Tab Switched
13/07/2015 11:43:10,,,,,,https://mail.google.com/mail/u/0/#inbox,Tab,New Tab
13/07/2015 11:43:11,,,,,,https://mail.google.com/mail/u/0/#inbox/14e85ffa991a750e,Tab,New Tab
13/07/2015 11:43:12,,,,,,https://mail.google.com/mail/u/0/#inbox,Tab,New Tab
13/07/2015 11:43:12,,,,,,https://mail.google.com/mail/u/0/#inbox/14e85ffa991a750e,Mouse,"MOUSE3: Mouse clicked! (397, 225) DIV [Tag Name :DIV] undefined MOUSE3: Mouse clicked! (397, 225) DIV [Tag Name :DIV] undefined"
13/07/2015 11:43:13,,,,,,https://mail.google.com/mail/u/0/#inbox/14e8600fc2f5bce3,Tab,New Tab
13/07/2015 11:43:15,,,,,,https://mail.google.com/mail/u/0/#inbox/14e8600fc2f5bce3,Mouse,"MOUSE3: Mouse clicked! (387, 188) SPAN [Tag Name :SPAN] undefined MOUSE3: Mouse clicked! (387, 188) SPAN [Tag Name :SPAN] undefined"
13/07/2015 11:43:15,,,,,,https://mail.google.com/mail/u/0/#inbox,Tab,New Tab
13/07/2015 11:43:16,,,,,,https://www.udacity.com/me#!/,Tab,Tab Switched
13/07/2015 11:43:18,,,,,,https://www.udacity.com/course/viewer#!/c-cs046/l-176475143/m-178422831,Tab,Tab Switched
13/07/2015 11:43:39,,,,,,,Window,Window maximized
13/07/2015 11:43:42,,,,,,,Window,Window -Possible Minimize
13/07/2015 11:43:44,,,,,,https://taralabs.slack.com/messages/@praveen/,Tab,Tab Switched
13/07/2015 11:44:34,,,,,,https://mail.google.com/mail/u/0/#inbox,Tab,Tab Switched
13/07/2015 11:44:34,,,,,,https://taralabs.slack.com/messages/@praveen/,Mouse,"MOUSE3: Mouse clicked! (457, 937) TEXTAREA [Tag Name :TEXTAREA] MOUSE3: Mouse clicked! (457, 937) TEXTAREA [Tag Name :TEXTAREA] MOUSE3: Mouse clicked! (457, 937) TEXTAREA [Tag Name :TEXTAREA] MOUSE3: Mouse clicked! (457, 937) TEXTAREA [Tag Name :TEXTAREA] MOUSE3: Mouse clicked! (457, 937) TEXTAREA [Tag Name :TEXTAREA] MOUSE3: Mouse clicked! (457, 937) TEXTAREA [Tag Name :TEXTAREA]"
13/07/2015 11:44:35,,,,,,https://www.workingon.co/activity,Tab,Tab Switched
13/07/2015 11:44:36,,,,,,https://taralabs.slack.com/messages/@praveen/,Tab,Tab Switched
13/07/2015 11:44:45,,,,,,https://www.udacity.com/me#!/,Tab,Tab Switched
13/07/2015 11:44:46,,,,,,https://www.udacity.com/course/viewer#!/c-cs046/l-176475143/m-178422831,Tab,Tab Switched
13/07/2015 11:44:54,,,,,,https://taralabs.slack.com/messages/@praveen/,Tab,Tab Switched
13/07/2015 11:44:56,,,,,,https://www.udacity.com/course/viewer#!/c-cs046/l-176475143/m-178422831,Tab,Tab Switched
13/07/2015 11:45:13,,,,,,https://www.udacity.com/course/viewer#!/c-cs046/l-176475143/m-179427100,Tab,New Tab
13/07/2015 11:45:45,,,,,,https://www.udacity.com/course/viewer#!/c-cs046/l-176475143/m-212508589,Tab,New Tab
13/07/2015 11:47:34,,,,,,https://www.udacity.com/course/viewer#!/c-cs046/l-176475143/m-212508590,Tab,New Tab
13/07/2015 11:48:14,,,,,,https://www.udacity.com/course/viewer#!/c-cs046/l-176475143/m-212508590,Screen,idle
13/07/2015 11:48:58,,,,,,https://www.udacity.com/course/viewer#!/c-cs046/l-176475143/e-212297216/m-212297217,Tab,New Tab
13/07/2015 11:49:24,,,,,,https://www.udacity.com/course/viewer#!/c-cs046/l-176475143/e-212297216/m-212297218,Tab,New Tab
13/07/2015 11:49:26,,,,,,https://taralabs.slack.com/messages/@praveen/,Screen,active
13/07/2015 11:49:26,,,,,,https://taralabs.slack.com/messages/@praveen/,Tab,Tab Switched
13/07/2015 11:50:15,,,,,,https://taralabs.slack.com/messages/@praveen/,Mouse,"MOUSE3: Mouse clicked! (335, 942) TEXTAREA [Tag Name :TEXTAREA] MOUSE3: Mouse clicked! (335, 942) TEXTAREA [Tag Name :TEXTAREA]"
13/07/2015 11:50:15,,,,,,https://www.udacity.com/course/viewer#!/c-cs046/l-176475143/e-212297216/m-212297218,Tab,Tab Switched
13/07/2015 11:50:33,,,,,,https://www.workingon.co/activity,Tab,Tab Switched
